# ISO3166 official short names for countries (in uppercase) and AU (DFAT) country names.
AFGHANISTAN;Afghanistan
SAINT LUCIA;Saint Lucia
SAINT VINCENT AND THE GRENADINES;Saint Vincent and the Grenadines
SAMOA;Samoa
SAN MARINO;San Marino
SAO TOME AND PRINCIPE;Sao Tome and Principe
SAUDI ARABIA;Saudi Arabia
SENEGAL;Senegal
SERBIA;Kosovo
SERBIA;Serbia
SEYCHELLES;Seychelles
SIERRA LEONE;Sierra Leone
SINGAPORE;Singapore
SLOVAKIA;Slovakia
SLOVENIA;Slovenia
SOLOMON ISLANDS;Solomon Islands
SOMALIA;Somalia
SOUTH AFRICA;South Africa
SPAIN;Spain
SRI LANKA;Sri Lanka
SUDAN;Sudan
SURINAME;Suriname
SWAZILAND;Swaziland
SWEDEN;Sweden
SWITZERLAND;Switzerland
SYRIAN ARAB REPUBLIC;Syria
TAIWAN, PROVINCE OF CHINA;Taiwan
TAJIKISTAN;Tajikistan
TANZANIA, UNITED REPUBLIC OF;Tanzania
THAILAND;Thailand
TIMOR-LESTE;East Timor
TOGO;Togo
TONGA;Tonga
TRINIDAD AND TOBAGO;Trinidad and Tobago
TUNISIA;Tunisia
TURKEY;Turkey
TURKMENISTAN;Turkmenistan
TUVALU;Tuvalu
UGANDA;Uganda
UKRAINE;Ukraine
UNITED ARAB EMIRATES;United Arab Emirates
UNITED KINGDOM;United Kingdom
UNITED STATES;United States of America
URUGUAY;Uruguay
UZBEKISTAN;Uzbekistan
VANUATU;Vanuatu
VENEZUELA, BOLIVARIAN REPUBLIC OF;Venezuela
VIET NAM;Vietnam
VIRGIN ISLANDS, U.S.;United States of America
WALLIS AND FUTUNA;Wallis and Futuna
WESTERN SAHARA;Morocco
YEMEN;Yemen
ZAMBIA;Zambia
ZIMBABWE;Zimbabwe
